Difficulty,Question,QuestionEn,Options,Ans,AnsEn,Category
Easy,Quel est l'article indéfini pour 'un chat'?,What is the indefinite article for 'a cat'?,"Un,Une,Les,Des",Un,A,Grammar
Medium,Quelle est la bonne conjugaison de 'avoir' pour 'tu' au présent?,What is the correct conjugation of 'avoir' for 'you' in the present tense?,"As,Ais,A,Avez",As,Have,Grammar
Hard,Quel est le parfait du verbe 'finir'?,What is the perfect tense of the verb 'finish'?,"Finir,Fina,Finit,Finis",Finit,Finished,Grammar
Easy,"Quel est l'article défini pour ""le livre""?","What is the definite article for ""the book""?","Le,La,Les,Un",Le,The,Grammar
Medium,"Quelle est la bonne conjugaison de ""avoir"" pour ""tu"" au présent?","What is the correct conjugation of ""avoir"" for ""you"" in the present tense?","Ai,As,A,Avez",As,Have,Grammar
Hard,"Quel est le futur simple du verbe ""parler""?","What is the future simple tense of the verb ""to speak""?","Parlerai,Parleras,Parlera,Parlerons",Parlera,Will speak,Grammar
Easy,Quel est l'article défini pour 'la maison'?,What is the definite article for 'the house'?,"Le,La,Les,Un",La,The,Grammar
Medium,Quelle est la bonne conjugaison de 'avoir' pour 'tu' au présent?,What is the correct conjugation of 'avoir' for 'you' in the present tense?,"Ai,As,A,Avez",As,Have,Grammar
Hard,Quel est le participe passé du verbe 'finir'?,What is the past participle of the verb 'to finish'?,"Finir,Finie,Finissant,Finis",Finie,Finished,Grammar
Easy,Quel est l'article défini pour 'le chien'?,What is the definite article for 'the dog'?,"Le,La,Les,Un",Le,The,Grammar
Medium,Quelle est la bonne conjugaison de 'aller' pour 'nous' au futur?,What is the correct conjugation of 'aller' for 'we' in the future tense?,"Ir,Allons,Allez,Allons-nous",Allons,Will go,Grammar
Hard,Quel est le conditionnel du verbe 'faire'?,What is the conditional form of the verb 'to do'?,"Ferais,Fais,Fait,Ferais",Ferais,Would do,Grammar
Easy,Quel est l'article défini pour 'la ville'?,What is the definite article for 'the city'?,"Le,La,Les,Un",La,The,Grammar
Medium,Quelle est la bonne conjugaison de 'prendre' pour 'je' au présent?,What is the correct conjugation of 'prendre' for 'I' in the present tense?,"Prends,Prenez,Prends-je,Prend",Prends,Take,Grammar
Hard,Quel est l'impératif du verbe 'dire'?,What is the imperative form of the verb 'to say'?,"Dites,Dis,Dit,Dis-le",Dites,Say,Grammar
Easy,Quelle est l'article indéfini pour 'un chat'?,What is the indefinite article for 'a cat'?,"Un,Une,Les,Le",Un,A,Grammar
Medium,Quelle est la bonne conjugaison de 'aller' pour 'nous' au futur simple?,What is the correct conjugation of 'aller' for 'we' in the future simple tense?,"Allons,Alez,Allez,Alons",Allons,We will go,Grammar
Hard,Quel est le conditionnel présent du verbe 'finir'?,What is the conditional present tense of the verb 'finish'?,"Ferais,Ferais,Ferais,Ferait",Ferais,I would finish,Grammar
Easy,Quel est l'article défini pour 'la ville'?,What is the definite article for 'the city'?,"La,Le,Les,Un",La,The,Grammar
Medium,Quelle est la bonne conjugaison de 'avoir' pour 'tu' au présent?,What is the correct conjugation of 'have' for 'you' in the present tense?,"As,Ais,Avez,Ait",As,You have,Grammar
Hard,Quel est le subjonctif présent du verbe 'être'?,What is the present subjunctive of the verb 'be'?,"Sois,Soye,Soit,Soyons",Soit,Be,Grammar
Easy,Quel est l'article indéfini pour 'un livre'?,What is the indefinite article for 'a book'?,"Un,Une,Les,Le",Un,A,Grammar
Medium,Quelle est la bonne conjugaison de 'faire' pour 'nous' au futur simple?,What is the correct conjugation of 'do' for 'we' in the future simple tense?,"Faisons,Faites,Fera,Fais",Faisons,We will do,Grammar
Hard,Quel est le conditionnel passé du verbe 'finir'?,What is the conditional past tense of the verb 'finish'?,"Ferais,Ferais,Ferais,Ferait",Ferais,I would have finished,Grammar
Easy,Quel est l'article indéfini pour 'un chat'?,What is the indefinite article for 'a cat'?,"Un,Une,Des,Le",Un,A,Grammar
Easy,Quel est l'article défini pour 'le livre'?,What is the definite article for 'the book'?,"Le,La,Les,Un",Le,The,Grammar
Medium,Quelle est la bonne conjugaison de 'avoir' pour 'tu' au présent?,What is the correct conjugation of 'avoir' for 'you' in the present tense?,"As,Ai,A,Avez",As,Have,Grammar
Hard,Quel est l'infinitif du verbe 'écrit'?,What is the infinitive form of the verb 'écrit'?,"Ecrire,Ecrira,Ecrit,Ecris",Ecrire,To write,Grammar
Easy,Quel est l'article défini pour 'la ville'?,What is the definite article for 'the city'?,"Le,La,Les,Un",La,The,Grammar
Medium,Quelle est la bonne conjugaison de 'être' pour 'nous' au présent?,What is the correct conjugation of 'être' for 'we' in the present tense?,"Sommes,Suis,Es,Est",Sommes,Are,Grammar
